Algorithm: PageRank
Damping: 0.850000
Vertex ranks:
0 0.008957
1 0.008408
2 0.012298
3 0.016839
4 0.009489
5 0.024205
6 0.011256
7 0.011881
8 0.007351
9 0.005354
10 0.009526
11 0.010563
12 0.010794
13 0.011209
14 0.005373
15 0.007595
16 0.004293
17 0.005223
18 0.003997
19 0.009457
20 0.021121
21 0.015193
22 0.007048
23 0.005861
24 0.008470
25 0.003900
26 0.008240
27 0.012778
28 0.005104
29 0.006937
30 0.004924
31 0.003171
32 0.013144
33 0.010893
34 0.007571
35 0.005509
36 0.007908
37 0.011165
38 0.011698
39 0.015683
40 0.013401
41 0.003778
42 0.011609
43 0.011368
44 0.015317
45 0.008908
46 0.012556
47 0.013640
48 0.003820
49 0.008618
50 0.016893
51 0.005089
52 0.002941
53 0.005636
54 0.010306
55 0.013635
56 0.005982
57 0.004043
58 0.010160
59 0.009170
60 0.012523
61 0.014025
62 0.016200
63 0.014708
64 0.014106
65 0.009825
66 0.015357
67 0.005852
68 0.012919
69 0.012812
70 0.007330
71 0.006746
72 0.021836
73 0.006140
74 0.005744
75 0.007517
76 0.012833
77 0.013295
78 0.018698
79 0.008875
80 0.012194
81 0.012594
82 0.011776
83 0.007834
84 0.015529
85 0.016967
86 0.007889
87 0.004649
88 0.005362
89 0.007364
90 0.007758
91 0.012607
92 0.013471
93 0.015072
94 0.009443
95 0.007456
96 0.004217
97 0.010970
98 0.006055
99 0.006193
Sum of ranks: 1.000000
Iterations: 14
Converged: true
Execution time: 0.284600 ms
