Algorithm: Greedy Vertex Coloring
Vertex colors:
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 1
26 2
27 0
28 1
29 1
30 1
31 1
32 1
33 1
34 2
35 2
36 3
37 3
38 2
39 0
40 1
41 2
42 1
43 2
44 3
45 3
46 4
47 1
48 4
49 4
50 0
51 1
52 0
53 1
54 1
55 3
56 2
57 5
58 1
59 1
60 1
61 5
62 5
63 2
64 2
65 6
66 4
67 0
68 0
69 2
70 1
71 1
72 3
73 1
74 1
75 0
76 0
77 2
78 0
79 0
80 6
81 1
82 2
83 4
84 1
85 0
86 1
87 3
88 6
89 4
90 2
91 1
92 0
93 0
94 5
95 3
96 3
97 0
98 0
99 6
Colors used: 7
Execution time: 0.0319 ms
